full_name,age,gender,party,constituency,election_year,result,votes_received,total_votes,vote_percentage,winning_margin,education,profession,total_assets,total_liabilities,criminal_cases_count,affidavit_link,source_url,scraped_timestamp
BABU M,44,Male,Viduthalai Chiruthaigal Katchi,CHEYYUR (SC) (CHENGALPATTU),tamilnadu2021,Won,0,0,0.0,0,,Cable Operator,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=928,2026-02-22 12:48:53.409904
K.A. PANDIAN,60,Male,AIADMK,CHIDAMBARAM (CUDDALORE),tamilnadu2021,Won,0,0,0.0,0,,"Union President Kumarachchi Panchayat Union, Cuddalore District",0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=80,2026-02-22 12:48:57.619320
AMMAN K.ARJUNAN,63,Male,AIADMK,COIMBATORE NORTH (COIMBATORE),tamilnadu2021,Won,0,0,0.0,0,,Business Women,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=280,2026-02-22 12:49:02.998220
VANATHI SRINIVASAN,50,Male,BJP,COIMBATORE SOUTH (COIMBATORE),tamilnadu2021,Won,0,0,0.0,0,,Advocate,0,0,2,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=282,2026-02-22 12:49:11.807001
PRINCE J G,64,Male,INC,COLACHAL (KANNIYAKUMARI),tamilnadu2021,Won,0,0,0.0,0,,Housewife,0,0,73,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=956,2026-02-22 12:49:15.102435
"RAMACHANDRAN, K.",69,Male,DMK,COONOOR (THE NILGIRIS),tamilnadu2021,Won,0,0,0.0,0,,Agriculture & Business,0,0,3,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=284,2026-02-22 12:49:18.465533
G.IYAPPAN,63,Male,DMK,CUDDALORE (CUDDALORE),tamilnadu2021,Won,0,0,0.0,0,,"Rental Income, Money Lending",0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=82,2026-02-22 12:49:21.715336
N.RAMAKRISHNAN,72,Male,DMK,CUMBUM (THENI),tamilnadu2021,Won,0,0,0.0,0,,Agriculture,0,0,7,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=285,2026-02-22 12:49:27.201918
KAYALVIZHI N,52,Male,DMK,DHARAPURAM (SC) (TIRUPPUR),tamilnadu2021,Won,0,0,0.0,0,,Lawyer,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=4053,2026-02-22 12:49:30.965013
VENKATESHWARAN.S.P.,54,Male,Pattali Makkal Katchi,DHARMAPURI (DHARMAPURI),tamilnadu2021,Won,0,0,0.0,0,,House Wife,0,0,4,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=998,2026-02-22 12:49:34.188740
SREENIVASAN.C,72,Male,AIADMK,DINDIGUL (DINDIGUL),tamilnadu2021,Won,0,0,0.0,0,,Housewife,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=10,2026-02-22 12:49:37.466765
EBENEZER. J.J. Alias JOHN EBENEZER.J,45,Male,DMK,DR.RADHAKRISHNAN NAGAR (CHENNAI),tamilnadu2021,Won,0,0,0.0,0,,House Wife,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=1013,2026-02-22 12:49:40.712602
PALANISWAMI K,67,Male,AIADMK,EDAPPADI (SALEM),tamilnadu2021,Won,0,0,0.0,0,,Agriculture & Business,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=88,2026-02-22 12:49:43.955769
I.PARANTHAMEN,44,Male,DMK,EGMORE (SC) (CHENNAI),tamilnadu2021,Won,0,0,0.0,0,,House Wife & Private Class Teacher,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=1025,2026-02-22 12:49:47.234212
"THIRUMAHAN EVERAA,E.",45,Male,INC,ERODE EAST (ERODE),tamilnadu2021,Won,0,0,0.0,0,,NA,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=1032,2026-02-22 12:49:50.467280
MUTHUSAMY S,71,Male,DMK,ERODE WEST (ERODE),tamilnadu2021,Won,0,0,0.0,0,,NIl,0,0,9,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=1040,2026-02-22 12:49:56.039291
M.CHINNADURAI,58,Male,CPI(M),GANDARVAKOTTAI (SC) (PUDUKKOTTAI),tamilnadu2021,Won,0,0,0.0,0,,Agriculture dily weages,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=1851,2026-02-22 12:49:59.784464
A.NALLATHAMBI,56,Male,AIADMK,GANGAVALLI (SC) (SALEM),tamilnadu2021,Won,0,0,0.0,0,,House Wife,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=409,2026-02-22 12:50:03.009968
MASTHAN K S,65,Male,DMK,GINGEE (VILLUPPURAM),tamilnadu2021,Won,0,0,0.0,0,,Rental income and interest income,0,0,29,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=413,2026-02-22 12:50:08.024844
SENGOTTAIYAN K.A,73,Male,AIADMK,GOBICHETTIPALAYAM (ERODE),tamilnadu2021,Won,0,0,0.0,0,,Agriculture,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=416,2026-02-22 12:50:11.262547
PON.JAYASEELAN,48,Male,AIADMK,GUDALUR (SC) (THE NILGIRIS),tamilnadu2021,Won,0,0,0.0,0,,Teacher,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=1075,2026-02-22 12:50:14.477466
AMALU.V,39,Male,DMK,GUDIYATTAM (SC) (VELLORE),tamilnadu2021,Won,0,0,0.0,0,,Agriculture,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=1852,2026-02-22 12:50:17.787936
GOVINDARAJAN T.J,60,Male,DMK,GUMMIDIPOONDI (THIRUVALLUR),tamilnadu2021,Won,0,0,0.0,0,,Housewife,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=1089,2026-02-22 12:50:21.132660
SEKARBABU. P.K,58,Male,DMK,HARBOUR (CHENNAI),tamilnadu2021,Won,0,0,0.0,0,,Real Estate and Consultant,0,0,25,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=422,2026-02-22 12:50:24.514644
SAMPATHKUMAR.V,46,Male,AIADMK,HARUR (SC) (DHARMAPURI),tamilnadu2021,Won,0,0,0.0,0,,Nutrition Organizer,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=93,2026-02-22 12:50:27.822416
PRAKAASH Y,56,Male,DMK,HOSUR (KRISHNAGIRI),tamilnadu2021,Won,0,0,0.0,0,,House Wife,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=432,2026-02-22 12:50:31.690988
KANNAN KA SO KA,43,Male,DMK,JAYANKONDAM (ARIYALUR),tamilnadu2021,Won,0,0,0.0,0,,Medical Profession (Doctor-BDS) and Member and Managing Trustee of Charitable Trust (S),0,0,21,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=1692,2026-02-22 12:50:35.063015
DEVARAJI.K.,64,Male,DMK,JOLARPET (TIRUPATHUR),tamilnadu2021,Won,0,0,0.0,0,,"HEADMASTER, GOVT. VELLAKUTTAI PRIMARY SCHOOL, VANIYAMBADI TALUK",0,0,3,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=1855,2026-02-22 12:50:38.435791
C.KRISHNAMURALI,38,Male,AIADMK,KADAYANALLUR (TENKASI),tamilnadu2021,Won,0,0,0.0,0,,Private Job,0,0,1,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=442,2026-02-22 12:50:42.056294
SARAVANAN.P.S.T,52,Male,DMK,KALASAPAKKAM (TIRUVANNAMALAI),tamilnadu2021,Won,0,0,0.0,0,,Agriculture,0,0,1,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=445,2026-02-22 12:50:46.216052
SENTHILKUMAR.M,43,Male,AIADMK,KALLAKURICHI (SC) (KALLAKURICHI),tamilnadu2021,Won,0,0,0.0,0,,Houseswife,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=450,2026-02-22 12:50:49.532819
C.V.M.P. EZHAILZRASAN,49,Male,DMK,KANCHEEPURAM (KANCHEEPURAM),tamilnadu2021,Won,0,0,0.0,0,,Housewife,0,0,5,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=453,2026-02-22 12:50:52.810192
SAMINATHAN.M.P,57,Male,DMK,KANGAYAM (TIRUPPUR),tamilnadu2021,Won,0,0,0.0,0,,Agriculture and Business,0,0,3,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=454,2026-02-22 12:50:56.806727
THALAVAI SUNDARAM N.,62,Male,AIADMK,KANNIYAKUMARI (KANNIYAKUMARI),tamilnadu2021,Won,0,0,0.0,0,,Not Applicable,0,0,1,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=77,2026-02-22 12:51:00.390448
S.MANGUDI,58,Male,INC,KARAIKUDI (SIVAGANGA),tamilnadu2021,Won,0,0,0.0,0,,Proprietor of SM Constructions,0,0,9,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=1211,2026-02-22 12:51:05.285934
SENTHILBALAJI V,45,Male,DMK,KARUR (KARUR),tamilnadu2021,Won,0,0,0.0,0,,Housewife,0,0,30,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=485,2026-02-22 12:51:08.959687
DURAIMURUGAN,83,Male,DMK,KATPADI (VELLORE),tamilnadu2021,Won,0,0,0.0,0,,Business,0,0,8,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=486,2026-02-22 12:51:12.500213
SINTHANAI SELVAN,55,Male,Viduthalai Chiruthaigal Katchi,KATTUMANNARKOIL (SC) (CUDDALORE),tamilnadu2021,Won,0,0,0.0,0,,House wife,0,0,1,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=1251,2026-02-22 12:51:15.844796
G.ARUNKUMAR,59,Male,AIADMK,KAVUNDAMPALAYAM (COIMBATORE),tamilnadu2021,Won,0,0,0.0,0,,Business,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=491,2026-02-22 12:51:19.232788
RAJESH KUMAR S,46,Male,INC,KILLIYOOR (KANNIYAKUMARI),tamilnadu2021,Won,0,0,0.0,0,,Business,0,0,52,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=1267,2026-02-22 12:51:22.820720
K.PITCHANDI,67,Male,DMK,KILPENNATHUR (TIRUVANNAMALAI),tamilnadu2021,Won,0,0,0.0,0,,Housewife,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=98,2026-02-22 12:51:26.094226
M.JAGAN MOORTHY,54,Male,AIADMK,KILVAITHINANKUPPAM (SC) (VELLORE),tamilnadu2021,Won,0,0,0.0,0,,Proprietor M/S Srimathy Enterprises,0,0,2,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=1279,2026-02-22 12:51:29.474937
NAGAIMAALI V P,65,Male,CPI(M),KILVELUR (NAGAPATTINAM),tamilnadu2021,Won,0,0,0.0,0,,House Wife,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=1282,2026-02-22 12:51:32.689356
DAMODARAN.S,69,Male,AIADMK,KINATHUKADAVU (COIMBATORE),tamilnadu2021,Won,0,0,0.0,0,,Housewife,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=1290,2026-02-22 12:51:36.186464
M.K. STALIN,68,Male,DMK,KOLATHUR (CHENNAI),tamilnadu2021,Won,0,0,0.0,0,,Director,0,0,47,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=504,2026-02-22 12:51:39.748636
KADAMBUR RAJU,61,Male,AIADMK,KOVILPATTI (THOOTHUKUDI),tamilnadu2021,Won,0,0,0.0,0,,LIC Agent & Petrol Pump owner,0,0,2,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=507,2026-02-22 12:51:43.061709
ASHOKKUMAR.K,68,Male,AIADMK,KRISHNAGIRI (KRISHNAGIRI),tamilnadu2021,Won,0,0,0.0,0,,Nil,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=102,2026-02-22 12:51:46.374570
SIVAGAMA SUNDARI.K,50,Male,DMK,KRISHNARAYAPURAM (SC) (KARUR),tamilnadu2021,Won,0,0,0.0,0,,Cooperative Audit Officer,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=1858,2026-02-22 12:51:51.414950
R.MANICKAM,61,Male,DMK,KULITHALAI (KARUR),tamilnadu2021,Won,0,0,0.0,0,,Agriculture,0,0,6,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=1350,2026-02-22 12:52:00.485962
THANGAMANI.P,60,Male,AIADMK,KUMARAPALAYAM (NAMAKKAL),tamilnadu2021,Won,0,0,0.0,0,,Textiles Business,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=105,2026-02-22 12:52:03.705244
"ANBALAGAN, G.",72,Male,DMK,KUMBAKONAM (THANJAVUR),tamilnadu2021,Won,0,0,0.0,0,,Housewife,0,0,6,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=106,2026-02-22 12:52:07.056535
"SIVASANKAR, S.S.",51,Male,DMK,KUNNAM (PERAMBALUR),tamilnadu2021,Won,0,0,0.0,0,,Medical Profession (Doctor),0,0,46,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=1395,2026-02-22 12:52:10.644189
M.R.K.PANNEERSELVAM,63,Male,DMK,KURINJIPADI (CUDDALORE),tamilnadu2021,Won,0,0,0.0,0,,"Transports Business, Farmer",0,0,12,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=516,2026-02-22 12:52:14.150864
